VORO.protein3.ROUND	VORO.protein3.AR	VORO.Feret.norm	VORO.Area.norm	CYTO.Area.norm	NUVO.distance.norm	ISEDGE
0.7071	1.4142	2.90723970733407	8.22066153149071	4.43769823289533	0.144718211028801	1
0.6725	1.4871	1.593133661224	2.14996174445295	1.1583779648049	0.0521863426618614	1
0.6487	1.5416	2.89145610248812	4.98838109992254	3.99302865995352	0.37102553922088	1
0.8398	1.1907	1.93329045359308	2.78243352135375	1.78887993553586	0.13391632080309	1
0.8998	1.1114	1.85976806540083	3.51652574942352	2.38739431206764	0.342456647674785	1
0.2894	3.4552	9.0846536163847	25.4157468727005	3.3355408388521	2.57923403079631	0
0.6669	1.4995	1.93283103877857	3.65287356321839	2.65593869731801	0.102216811215483	1
0.9656	1.0356	1.88707369039113	3.27874276261373	2.27212572373863	0.196154008601043	1
0.7862	1.2719	1.69040840065523	2.46661721068249	1.47255192878338	0.160515472522896	1
0.683	1.4641	2.37135795985867	3.44726712856043	2.4526558891455	0.169870519882906	1
0.8317	1.2023	1.79999156986649	3.33512931034483	2.3292025862069	0.213746476234413	1
0.3201	3.1243	2.90478389010461	3.39969254419677	2.4119907763259	0.0741889255697095	1
0.6826	1.4649	1.94999377008037	2.95706106870229	1.96278625954198	0.0313203813481704	1
0.8103	1.2341	1.91794672518363	2.9868073878628	1.99208443271768	0.0795031894438922	1
0.2675	3.7388	19.8205377240118	98.659121171771	4.20639147802929	6.29609409385964	0
0.8408	1.1894	1.99963350220977	3.08917197452229	2.09447983014862	0.222557078047689	1
0.6162	1.623	2.70523318174219	6.449177877429	5.43124065769806	0.0721821477043862	1
0.757	1.3209	3.85132264150943	10.9178247734139	4.59274924471299	0.720512392646071	0
0.9714	1.0295	2.44258246114811	4.15285880980163	3.15635939323221	0.176194417628412	1
0.8995	1.1118	2.27205459447773	4.91492537313433	3.89626865671642	0.288732620310029	1
0.6314	1.5838	1.91804542679988	3.15816326530612	2.16496598639456	0.0747369245866985	1
0.9489	1.0538	1.94596661144386	3.05934455270151	2.0682019486271	0.0917287919363043	1
0.6372	1.5693	1.66013849347629	2.48664944013781	1.49698535745047	0.0714321929058619	1
0.9297	1.0757	2.2776360065429	4.99488817891374	3.68498402555911	0.409625028244647	1
0.6425	1.5564	1.8186649882863	3.09486780715397	2.099533437014	0.00669436886861794	1
0.5618	1.7801	2.00829717536852	3.56561085972851	2.57013574660634	0.0231815196802404	1
0.8003	1.2495	1.88107318558372	3.44300911854103	2.44072948328267	0.0779121179556019	1
0.8836	1.1317	1.87050481209024	3.66250866250866	2.66528066528067	0.207756978504881	1
0.8529	1.1725	1.84919848899031	3.20624085811799	2.2077035592394	0.182983277071932	1
0.282	3.5463	9.51244910044703	33.9246263807667	6.64327485380117	3.32287618200738	0
0.5317	1.8807	1.9235407816263	2.19001490312966	1.20044709388972	0.0276467060974557	1
0.6357	1.573	1.75334054221055	2.78010825439784	1.78484438430311	0.155147464960701	1
0.6744	1.4827	1.62206804373216	2.06046141607001	1.06762132060461	0.0787303562556815	1
0.8412	1.1888	1.73319283414329	3.12509897070467	2.1298495645289	0.193694920043087	1
