CLASS	VORO.protein3.ROUND	VORO.protein3.AR	VORO.Feret.norm	VORO.Area.norm	CYTO.Area.norm	NUVO.distance.norm
INTERIOR	0.138968437827475	-0.244019761185028	0.191761535003416	0.519739287206033	0.991002038264343	-0.428080151749595
INTERIOR	-0.0428749380493048	-0.104801955247741	-0.75341160422715	-0.831836047302794	-1.31135835408546	-0.61706440012017
INTERIOR	-0.170155145915492	-0.00336311077774957	0.182429414584387	-0.0234114971270094	0.778424189858051	-0.0236008949517593
INTERIOR	0.803776453198832	-0.698636272382198	-0.469240570930383	-0.601580387587914	-0.672768851720255	-0.449337876971915
INTERIOR	1.08876990632372	-0.871175716351755	-0.527764103372479	-0.378373962065954	-0.188323398766255	-0.070814907847286
EDGE	-2.35309238666961	2.62324120553428	2.37780097134759	1.8442053132166	0.426600390995804	2.12791259913379
INTERIOR	-0.0726595197469665	-0.0815283018923039	-0.469601689204141	-0.34094718413434	0.00177580596161607	-0.512910836906444
INTERIOR	1.39114423686597	-1.04226785555387	-0.505855147853493	-0.446432192633916	-0.274590119462595	-0.329532534009363
INTERIOR	0.54120945474188	-0.528317500054691	-0.668509294255998	-0.711296787379826	-0.972747027110603	-0.397350184332716
INTERIOR	0.0127033272214411	-0.14827969955885	-0.148335876390344	-0.397820119784515	-0.140774186963966	-0.379348675277482
INTERIOR	0.764592007756353	-0.67392220028727	-0.576465804890684	-0.42995715458018	-0.231500619916185	-0.296796669275285
INTERIOR	-2.14412783187707	2.2620835830749	0.190312002252221	-0.411354185360742	-0.170295844739932	-0.570662292664654
INTERIOR	0.0105924206678502	-0.146760629910104	-0.456149367558296	-0.544784485225731	-0.522043617618225	-0.661974752488641
INTERIOR	0.660228097182695	-0.606833345974131	-0.481332058069024	-0.535360244861769	-0.49752457103655	-0.559597358622622
EDGE	-2.50522156018779	2.91203379167061	4.0491172512088	3.51508144981802	0.882689175462419	3.72472732031658
INTERIOR	0.80860207078708	-0.701414103592846	-0.417677322723739	-0.503458022978922	-0.413678818180438	-0.280579893209634
INTERIOR	-0.346962097451786	0.144163441608996	0.0693740153569442	0.251271760559812	1.40914413335954	-0.57485488921825
EDGE	0.394833908014416	-0.428459804678711	0.690718788857813	0.842625956818	1.06105749165175	0.485501403236552
INTERIOR	1.41731006032123	-1.05631232835361	-0.100136388331513	-0.212508133931163	0.32143218008495	-0.367261235789974
INTERIOR	1.08736745052698	-0.870289244688642	-0.217264660059204	-0.0389427572189973	0.729662789697516	-0.16238745342435
